task_id,agent_pool,reviewer_pool,batch,concurrency_group,start_condition,branch_name
DOC-01,doc_control_lead,explorer_doc,batch-0,doc,none,feat/doc-01-establish-canonical-docs-entrypoints-and-source-of
DOC-02,doc_control_a,explorer_doc,batch-0,doc,DOC-01,codex/feat/doc-02-archive-stale-planning-and-historical-run-artifact
DOC-03,doc_control_b,explorer_doc,batch-0,doc,DOC-01,feat/doc-03-normalize-status-board-and-merged-baseline-history
DOC-04,doc_control_a,explorer_doc,batch-0,doc,DOC-01,feat/doc-04-add-doc-freshness-metadata-and-registry
DOC-05,doc_control_ci,explorer_doc,batch-0,doc,DOC-04,feat/doc-05-add-doc-consistency-checker-and-ci-gate
DOC-06,doc_control_lead,explorer_doc,batch-0,doc,DOC-01,codex/feat/doc-06-expand-agent-ownership-map-for-target-runtime-boun
ARC-01,runtime_a,explorer_arc,batch-1,arc,DOC-06,feat/arc-01-extract-simulation-session-and-turn-loop-orchestra
ARC-02,runtime_b,explorer_arc,batch-1,arc,ARC-01,feat/arc-02-extract-turn-declaration-validation-and-legal-acti
ARC-03,runtime_c,explorer_arc,batch-1,arc,ARC-01,feat/arc-03-extract-movement-routing-and-spatial-legality-serv
ARC-04,runtime_d,explorer_arc,batch-1,arc,ARC-02;ARC-03,feat/arc-04-extract-action-resolution-pipeline
ARC-05,runtime_e,explorer_arc,batch-1,arc,ARC-04,feat/arc-05-extract-effect-lifecycle-condition-state-and-conce
ARC-06,runtime_f,explorer_arc,batch-1,arc,ARC-04;ARC-05,feat/arc-06-extract-reactions-interrupts-and-ready-action-wind
ARC-07,runtime_spell,explorer_arc,batch-1,arc,ARC-02;ARC-04;ARC-05,feat/arc-07-extract-spell-execution-pipeline-and-target-resolu
ARC-08,runtime_report,explorer_arc,batch-1,arc,ARC-01;ARC-04,feat/arc-08-extract-replay-reporting-adapter-layer-and-reduce
CAP-01,content_manifest_lead,explorer_cap,batch-2,cap,DOC-01,feat/cap-01-define-capability-manifest-schema-storage-format-a
CAP-02,content_manifest_spell,explorer_cap,batch-2,cap,CAP-01;ARC-07,feat/cap-02-generate-spell-capability-manifest-from-canonical
CAP-03,content_manifest_feat,explorer_cap,batch-2,cap,CAP-01;ARC-05,feat/cap-03-generate-feat-trait-background-and-species-capabil
CAP-04,content_manifest_monster,explorer_cap,batch-2,cap,CAP-01;ARC-04,feat/cap-04-generate-monster-and-monster-action-capability-man
CAP-05,content_manifest_gate,explorer_cap,batch-2,cap,CAP-02;CAP-03;CAP-04;DOC-05,feat/cap-05-enforce-capability-manifest-gates-in-import-paths
CAP-06,content_manifest_report,explorer_cap,batch-2,cap,CAP-05,feat/cap-06-publish-machine-readable-and-markdown-coverage-rep
OBS-01,observability_a,explorer_obs,batch-2,obs,DOC-01,feat/obs-01-introduce-structured-event-schema-and-module-level
OBS-02,observability_b,explorer_obs,batch-2,obs,OBS-01;ARC-04,feat/obs-02-emit-turn-declaration-and-action-resolution-traces
OBS-03,observability_c,explorer_obs,batch-2,obs,OBS-01;ARC-05,feat/obs-03-emit-actor-state-delta-and-effect-lifecycle-traces
OBS-04,observability_ai,explorer_obs,batch-2,obs,AI-01;OBS-02,feat/obs-04-emit-ai-candidate-scoring-and-rationale-traces
OBS-05,observability_d,explorer_obs,batch-2,obs,OBS-01;ARC-05,feat/obs-05-emit-resource-delta-rng-audit-and-invariant-violat
OBS-06,observability_replay,explorer_obs,batch-2,obs,OBS-02;OBS-03;OBS-05;ARC-08,feat/obs-06-build-replay-bundle-writer-loader-and-diff-harness
OBS-07,observability_gate,explorer_obs,batch-2,obs,OBS-06;DOC-05,feat/obs-07-establish-golden-trace-corpus-and-trace-review-gat
DBS-01,persistence_a,explorer_dbs,batch-3,dbs,CAP-01,feat/dbs-01-add-canonical-metadata-tables-for-content-and-supp
DBS-02,persistence_b,explorer_dbs,batch-3,dbs,DBS-01,feat/dbs-02-add-schema-version-source-lineage-and-content-hash
DBS-03,persistence_c,explorer_dbs,batch-3,dbs,DBS-02;CAP-05,feat/dbs-03-add-query-apis-and-cli-for-support-coverage-schema
DBS-04,persistence_campaign,explorer_dbs,batch-3,dbs,DBS-01;ARC-08,feat/dbs-04-add-campaign-state-persistence-schema-and-round-tr
DBS-05,persistence_world,explorer_dbs,batch-3,dbs,DBS-04,feat/dbs-05-add-world-flags-objectives-factions-and-encounter
